system.diskio.iostat.await,system.diskio.iostat.queue.avg_size,system.diskio.iostat.read.per_sec.bytes,system.diskio.iostat.write.per_sec.bytes,scenario,type,timestamp,anomaly
28.754,0.059,0.0,59520,0,0,2018-01-01 02:19:00,0
4.911,0.008,0.0,54685,0,0,2018-01-01 02:20:00,0
4.615,0.008,0.0,45573,0,0,2018-01-01 02:21:00,0
4.871,0.008,0.0,38202,0,0,2018-01-01 02:22:00,0
10.125,0.022,0.0,51011,0,0,2018-01-01 02:23:00,0
12.175,0.028,825.911,56593,0,0,2018-01-01 02:24:00,0
34.138,0.066,0.0,59996,0,0,2018-01-01 02:25:00,0
6.667,0.012,0.0,84684,0,0,2018-01-01 02:26:00,0
42.593,0.077,0.0,59736,0,0,2018-01-01 02:27:00,0
8.655,0.017,11799.0,20447,0,0,2018-01-01 02:28:00,0
8.482,0.024,617.772,116570,0,0,2018-01-01 02:29:00,0
8.225,0.02,274.358,42668,0,0,2018-01-01 02:30:00,0
6.178,0.009,68.636,58984,0,0,2018-01-01 02:31:00,0
5.774,0.01,687.681,60642,0,0,2018-01-01 02:32:00,0
7.782,0.014,754.644,83946,0,0,2018-01-01 02:33:00,0
9.754,0.019,0.0,58738,0,0,2018-01-01 02:34:00,0
7.837,0.013,0.0,10751,0,0,2018-01-01 02:35:00,0
6.716,0.012,0.0,57423,0,0,2018-01-01 02:36:00,0
14.655,0.028,0.0,61280,0,0,2018-01-01 02:37:00,0
8.44,0.014,0.0,41542,0,0,2018-01-01 02:38:00,0
7.129,0.018,0.0,56765,0,0,2018-01-01 02:39:00,0
8.515,0.014,0.0,57950,0,0,2018-01-01 02:40:00,0
11.265,0.018,342.547,58674,0,0,2018-01-01 02:41:00,0
5.698,0.01,0.0,59118,0,0,2018-01-01 02:42:00,0
13.333,0.02,0.0,35704,0,0,2018-01-01 02:43:00,0
12.278,0.03,0.0,112674,0,0,2018-01-01 02:44:00,0
5.168,0.01,0.0,36828,0,0,2018-01-01 02:45:00,0
8.729,0.025,0.0,44852,0,0,2018-01-01 02:46:00,0
6.0,0.009,0.0,83033,0,0,2018-01-01 02:47:00,0
17.897,0.035,0.0,84926,0,0,2018-01-01 02:48:00,0
5.959,0.01,0.0,11430,0,0,2018-01-01 02:49:00,0
14.099,0.024,480.933,58775,0,0,2018-01-01 02:50:00,0
7.888,0.014,0.0,95748,0,0,2018-01-01 02:51:00,0
5.081,0.006,0.0,9392,0,0,2018-01-01 02:52:00,0
20.042,0.032,0.0,43650,0,0,2018-01-01 02:53:00,0
8.406,0.019,0.0,88281,0,0,2018-01-01 02:54:00,0
64.505,0.111,0.0,33638,0,0,2018-01-01 02:55:00,0
5.239,0.01,0.0,57219,0,0,2018-01-01 02:56:00,0
8.286,0.014,1071.0,58543,0,0,2018-01-01 02:57:00,0
6.545,0.011,0.0,60157,0,0,2018-01-01 02:58:00,0
8.033,0.016,0.0,62539,0,0,2018-01-01 02:59:00,0
7.477,0.016,1944.0,61603,0,0,2018-01-01 03:00:00,0
5.831,0.012,0.0,60401,0,0,2018-01-01 03:01:00,0
6.069,0.009,0.0,58820,0,0,2018-01-01 03:02:00,0
5.126,0.009,0.0,58170,0,0,2018-01-01 03:03:00,0
13.418,0.025,824.11,60024,0,0,2018-01-01 03:04:00,0
19.702,0.031,0.0,80345,0,0,2018-01-01 03:05:00,0
6.614,0.011,0.0,55744,0,0,2018-01-01 03:06:00,0
10.442,0.017,0.0,10623,0,0,2018-01-01 03:07:00,0
6.667,0.01,618.523,44765,0,0,2018-01-01 03:08:00,0
45.919,0.114,1273.0,81259,0,0,2018-01-01 03:09:00,0
5.234,0.008,0.0,11270,0,0,2018-01-01 03:10:00,0
9.4,0.016,1005.0,53909,0,0,2018-01-01 03:11:00,0
10.796,0.019,0.0,105490,0,0,2018-01-01 03:12:00,0
7.52,0.013,0.0,59150,0,0,2018-01-01 03:13:00,0
53.654,0.12,68.61,14539,0,0,2018-01-01 03:14:00,0
5.778,0.011,752.69,60207,0,0,2018-01-01 03:15:00,0
27.61,0.057,0.0,111460,0,0,2018-01-01 03:16:00,0
